skill_name,skill_category,job_count,unique_jobs,company_count,location_count,avg_company_rating,avg_skills_in_job,avg_job_sentiment,remote_jobs,demand_percentage,remote_percentage,max_confidence
github,devops_tools,12,12,12,4,2.68,9.6,0.0,0.0,2.88,0.0,0.8
debugging,other_technical,11,11,10,3,3.03,9.1,0.0,0.0,2.64,0.0,0.8
tableau,other_technical,11,11,11,3,2.53,8.8,0.0,0.0,2.64,0.0,0.8
container,programming_languages,11,11,11,5,3.67,9.3,0.0,0.0,2.64,0.0,0.8
data visualization,data_science_analytics,11,11,10,5,2.07,9.0,0.0,0.0,2.64,0.0,0.8
management,devops_tools,11,11,11,5,2.66,6.8,0.0,0.0,2.64,0.0,0.8
data management,other_technical,11,11,11,4,3.32,8.7,0.0,0.0,2.64,0.0,0.8
generative ai,programming_languages,11,11,11,3,2.67,10.1,0.0,0.0,2.64,0.0,0.8
pytorch,programming_languages,11,11,10,5,3.05,10.4,0.0,0.0,2.64,0.0,0.8
data quality,data_science_analytics,11,11,11,4,2.86,8.6,0.0,0.0,2.64,0.0,0.9
stack,programming_languages,10,10,10,4,2.26,8.8,0.0,0.0,2.4,0.0,0.8
market research,programming_languages,10,10,10,5,2.65,8.5,0.0,0.0,2.4,0.0,0.8
api,web_frameworks,10,10,10,5,2.38,8.3,0.0,0.0,2.4,0.0,0.8
version control,programming_languages,10,10,8,3,3.47,9.1,0.0,0.0,2.4,0.0,0.8
terraform,programming_languages,10,10,10,4,3.2,10.0,0.0,0.0,2.4,0.0,0.9
spark,programming_languages,10,10,4,8,1.15,9.6,0.0,0.0,2.4,0.0,0.8
angular,programming_languages,10,10,6,2,3.59,9.3,0.0,1.0,2.4,10.0,0.9
data analyst,other_technical,9,9,9,5,2.76,8.8,0.0,0.0,2.16,0.0,0.8
supply chain,programming_languages,9,9,9,2,3.29,9.2,0.0,0.0,2.16,0.0,0.9
ci cd pipeline,programming_languages,9,9,8,2,2.67,10.3,0.0,0.0,2.16,0.0,0.8
microservices,programming_languages,9,9,9,1,3.9,9.1,0.0,0.0,2.16,0.0,0.9
algorithms,programming_languages,9,9,8,4,3.8,9.8,0.0,0.0,2.16,0.0,0.8
pyspark,programming_languages,9,9,7,2,1.99,9.7,0.0,0.0,2.16,0.0,0.8
typescript,programming_languages,9,9,9,4,1.88,8.9,0.0,2.0,2.16,22.2,0.9
software testing,programming_languages,9,9,8,2,3.77,9.8,0.0,0.0,2.16,0.0,0.8
programming,programming_languages,9,9,9,3,3.44,9.4,0.0,0.0,2.16,0.0,0.8
node,web_frameworks,9,9,8,3,2.98,11.0,0.0,0.0,2.16,0.0,0.9
roadmap,programming_languages,8,8,8,5,3.27,7.9,0.0,0.0,1.92,0.0,0.8
analysis,data_science_analytics,8,8,7,6,2.28,8.3,0.0,0.0,1.92,0.0,0.8
rest api,programming_languages,8,8,5,6,3.93,8.9,0.0,0.0,1.92,0.0,0.8
computer vision,programming_languages,8,8,8,2,3.21,10.8,0.0,0.0,1.92,0.0,0.9
fullstack development,programming_languages,8,8,8,1,2.9,9.3,0.0,0.0,1.92,0.0,0.8
monitoring,programming_languages,8,8,8,1,2.96,10.5,0.0,0.0,1.92,0.0,0.9
