job_id,title,company,location,experience_min,experience_max,salary,description,skills_extracted,job_url,company_rating,posted_date,scraped_at,search_keyword,page_number,job_category,seniority_level,remote_friendly
180925934383,Full stack Developer,AcesoftLabs,Bengaluru,12.0,15.0,,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","['node.js', 'html', 'javascript', 'mongodb', 'css', 'postgresql', 'vue.js', 'mysql']",https://www.naukri.com/job-listings-full-stack-developer-acesoft-labs-bengaluru-12-to-15-years-180925934383,,3 days ago,2025-09-21T19:41:59.376878,full-stack-developer,2,software_engineer,senior,False
190925914025,Full Stack Developer,ARM Infotech,Tamil Nadu,3.0,5.0,,"Collaborate with cross-functional teams, including designers, and other developers, to ...","['apis', 'full stack development', 'web applications', 'html', 'javascript', 'css', 'modern web technologies', 'stack development']",https://www.naukri.com/job-listings-full-stack-developer-arm-infotech-tamil-nadu-3-to-5-years-190925914025,3.5,2 days ago,2025-09-21T19:42:09.644310,full-stack-developer,2,software_engineer,mid,False
171024011352,Full Stack Developer,Persistent,Bengaluru,4.0,8.0,,"We invite applications from all qualified individuals, including those with disabilitie...","['kubernetes', 'cicd', 'microservices', 'stack', 'docker', 'networking', 'continuous integration', 'fullstack development']",https://www.naukri.com/job-listings-full-stack-developer-persistent-systems-limited-bengaluru-4-to-8-years-171024011352,3.6,6 days ago,2025-09-21T19:42:09.912832,full-stack-developer,2,software_engineer,mid,False
190925914085,Full Stack Developer,Alyssum Global Services,Remote,3.0,5.0,,Location: Remote (Sometimes come to office for project requirement)Notice Period: Immed...,"['restful api', 'full stack development', 'react', 'javascript', 'angular', 'playwright', 's3', 'typescript']",https://www.naukri.com/job-listings-full-stack-developer-alyssum-global-services-noida-3-to-5-years-190925914085,4.4,2 days ago,2025-09-21T19:42:10.182017,full-stack-developer,2,software_engineer,mid,True
150925009255,Full Stack Developer,Newbie Soft Solutions,Bengaluru,7.0,12.0,,Front-end Technologies (React.JS or React Native)Back-end Technologies (PHP or Java or...,"['full stack', 'react native', 'java', 'node.js', 'c#', 'react js', 'python', '.net core']",https://www.naukri.com/job-listings-full-stack-developer-newbie-soft-solutions-bengaluru-7-to-12-years-150925009255,4.3,5 days ago,2025-09-21T19:42:10.445928,full-stack-developer,2,software_engineer,senior,False
80925501021,Full-Stack Developer,Apps For Bharat,Bengaluru,3.0,6.0,,Our upcoming product empowers users to experience daily spiritual engagement at scale a...,"['gcp', 'usage', 'backend', 'wellness', 'mongodb', 'performance optimization', 'mysql', 'pdf']",https://www.naukri.com/job-listings-full-stack-developer-apps-for-bharat-bengaluru-3-to-6-years-080925501021,4.3,1 week ago,2025-09-21T19:42:10.710806,full-stack-developer,2,software_engineer,mid,False
180925923850,Full Stack Developer ( Medtech ),Codvo,Bengaluru,5.0,7.0,,"At Codvo, software and people transformations go hand-in-hand. We are a global empathy-...","['ai', 'node js', 'react js', 'data analysis', 'machine learning', 'aws', 'full stack', 'data structure']",https://www.naukri.com/job-listings-full-stack-developer-medtech-codvo-ai-mumbai-delhi-ncr-bengaluru-5-to-7-years-180925923850,3.7,3 days ago,2025-09-21T19:42:11.009066,full-stack-developer,2,software_engineer,senior,False
160925912560,Full Stack-AI Developer,"NTT DATA, Inc.",Bengaluru,3.0,8.0,,Demonstrated experience in end-to-end SDLC (Software Development Life Cycle): requireme...,"['kubernetes', 'api integration', 'ci cd pipeline', 'continuous integration', 'python', 'version control', 'debugging', 'software development']",https://www.naukri.com/job-listings-full-stack-ai-developer-ntt-data-information-processing-services-private-l-imited-bengaluru-3-to-8-years-160925912560,3.9,5 days ago,2025-09-21T19:42:11.271615,full-stack-developer,2,software_engineer,mid,False
170925040627,Hiring For Full Stack Developer,ANAROCK Property Consultants,Bengaluru,3.0,7.0,,"The ideal candidate will have strong hands-on experience in Python, Node.js, React.js, ...","['stack', 'node.js', 'hiring', 'postgresql', 'react.js', 'python', 'full stack', 'mysql']",https://www.naukri.com/job-listings-hiring-for-full-stack-developer-wroots-global-bengaluru-3-to-7-years-170925040627,,3 days ago,2025-09-21T19:42:11.540800,full-stack-developer,2,software_engineer,mid,False
170925028954,Full-Stack Developer (React),Tanisha Systems,Bengaluru,7.0,12.0,,Experience: 7-12 Years . . Strong understanding of the React Full Stack development (Mo...,"['cloud', 'restful web', 'web technologies', 'javascript', 'mongodb', 'api', 'react.js', 'development']",https://www.naukri.com/job-listings-full-stack-developer-react-tanisha-systems-bengaluru-7-to-12-years-170925028954,2.9,4 days ago,2025-09-21T19:42:21.857057,full-stack-developer,2,software_engineer,senior,False
80925917471,AEM Full Stack Developer,Infosys,Bengaluru,3.0,5.0,,Bachelor of Engineering Digital ExperienceGood understanding of SDLC and agile methodol...,"['aem', 'sdlc', 'agile methodology', 'css', 'test cases', 'fullstack development', 'adobe', 'full stack']",https://www.naukri.com/job-listings-aem-full-stack-developer-infosys-limited-bengaluru-3-to-5-years-080925917471,3.5,1 week ago,2025-09-21T19:42:22.157503,full-stack-developer,2,software_engineer,mid,False
90925011330,CAPCO_Dotnet Full Stack Developer-Bangalore,Capco,Bengaluru,10.0,20.0,,Role Description Candidate should have 9 years of experience in full stack Web & Servi...,"['oops', '.netcore', 'serv', 'sql server', 'c#', 'mvc', 'asp.net', 'angular js']",https://www.naukri.com/job-listings-capco-dotnet-full-stack-developer-bangalore-capco-bengaluru-10-to-20-years-090925011330,3.7,1 week ago,2025-09-21T19:42:22.676102,full-stack-developer,2,software_engineer,senior,False
140925005441,Full Stack AEM Developer,Quest Global,Bengaluru,5.0,7.0,,Knowledge / experience with AEM is a MUST. Job Responsibilities: . You are customer ori...,"['java', 'agile', 'adobe experience management', 'stack', 'git', 'adobe experience manager', 'angular', 'spring']",https://www.naukri.com/job-listings-full-stack-aem-developer-quest-global-bengaluru-5-to-7-years-140925005441,3.5,1 week ago,2025-09-21T19:42:22.936761,full-stack-developer,2,software_engineer,senior,False
150925916266,Digital Twin Platform Developer / Full-Stack Engineer,"NTT DATA, Inc.",Bengaluru,2.0,4.0,,"Skills Required: Experience with React.js, Node.js, REST APIs, WebSocketsBackend experi...","['nosql', 'node.js', 'sql', 'hibernate', 'websocket', 'css', 'react.js', 'web services']",https://www.naukri.com/job-listings-digital-twin-platform-developer-full-stack-engineer-ntt-data-information-processing-services-private-l-imited-bengaluru-2-to-4-years-150925916266,3.9,6 days ago,2025-09-21T19:42:23.199756,full-stack-developer,2,software_engineer,junior,False
